,index,time,open,high,low,close,volume,ticker,TIMESTAMP
0,45124,2021-04-16 09:35:00,18.46,18.51,18.43,18.45,145849,UA,2021-04-16 09:35:00
1,45123,2021-04-16 09:40:00,18.45,18.49,18.41,18.418,23274,UA,2021-04-16 09:40:00
2,45122,2021-04-16 09:45:00,18.41,18.435,18.38,18.4,18980,UA,2021-04-16 09:45:00
3,45121,2021-04-16 09:50:00,18.41,18.475,18.3999,18.46,16943,UA,2021-04-16 09:50:00
4,45120,2021-04-16 09:55:00,18.47,18.47,18.32,18.32,14907,UA,2021-04-16 09:55:00
5,45119,2021-04-16 10:00:00,18.315,18.355,18.3,18.3,18225,UA,2021-04-16 10:00:00
6,45118,2021-04-16 10:05:00,18.29,18.46,18.25,18.27,177229,UA,2021-04-16 10:05:00
7,45117,2021-04-16 10:10:00,18.27,18.33,18.27,18.31,24631,UA,2021-04-16 10:10:00
8,45116,2021-04-16 10:15:00,18.31,18.34,18.29,18.29,10942,UA,2021-04-16 10:15:00
9,45115,2021-04-16 10:20:00,18.29,18.33,18.27,18.33,16860,UA,2021-04-16 10:20:00
10,45114,2021-04-16 10:25:00,18.32,18.36,18.31,18.3542,16073,UA,2021-04-16 10:25:00
11,45113,2021-04-16 10:30:00,18.35,18.38,18.34,18.35,15901,UA,2021-04-16 10:30:00
12,45112,2021-04-16 10:35:00,18.36,18.37,18.34,18.345,15659,UA,2021-04-16 10:35:00
13,45111,2021-04-16 10:40:00,18.3402,18.43,18.33,18.43,22335,UA,2021-04-16 10:40:00
14,45110,2021-04-16 10:45:00,18.43,18.46,18.425,18.46,27366,UA,2021-04-16 10:45:00
15,45109,2021-04-16 10:50:00,18.47,18.52,18.47,18.5,18519,UA,2021-04-16 10:50:00
16,45108,2021-04-16 10:55:00,18.5,18.51,18.4702,18.48,18424,UA,2021-04-16 10:55:00
17,45107,2021-04-16 11:00:00,18.46,18.48,18.44,18.44,11649,UA,2021-04-16 11:00:00
