,index,time,open,high,low,close,volume,ticker,TIMESTAMP
0,91367,2021-04-16 09:35:00,22.12,22.2,22.08,22.1,159394,UAA,2021-04-16 09:35:00
1,91366,2021-04-16 09:40:00,22.09,22.13,22.03,22.04,43571,UAA,2021-04-16 09:40:00
2,91365,2021-04-16 09:45:00,22.01,22.06,22.0,22.02,20481,UAA,2021-04-16 09:45:00
3,91364,2021-04-16 09:50:00,22.03,22.1,22.02,22.09,23227,UAA,2021-04-16 09:50:00
4,91363,2021-04-16 09:55:00,22.095,22.095,21.935,21.935,31778,UAA,2021-04-16 09:55:00
5,91362,2021-04-16 10:00:00,21.935,21.985,21.91,21.91,29761,UAA,2021-04-16 10:00:00
6,91361,2021-04-16 10:05:00,21.905,21.965,21.87,21.91,92127,UAA,2021-04-16 10:05:00
7,91360,2021-04-16 10:10:00,21.9,21.97,21.9,21.945,33897,UAA,2021-04-16 10:10:00
8,91359,2021-04-16 10:15:00,21.96,21.99,21.9,21.9,43451,UAA,2021-04-16 10:15:00
9,91358,2021-04-16 10:20:00,21.91,21.95,21.89,21.945,63463,UAA,2021-04-16 10:20:00
10,91357,2021-04-16 10:25:00,21.94,21.985,21.93,21.98,61904,UAA,2021-04-16 10:25:00
11,91356,2021-04-16 10:30:00,21.985,22.03,21.9501,21.99,101654,UAA,2021-04-16 10:30:00
12,91355,2021-04-16 10:35:00,22.0,22.015,21.98,21.995,32878,UAA,2021-04-16 10:35:00
13,91354,2021-04-16 10:40:00,21.99,22.12,21.99,22.12,48656,UAA,2021-04-16 10:40:00
14,91353,2021-04-16 10:45:00,22.12,22.175,22.12,22.17,70066,UAA,2021-04-16 10:45:00
15,91352,2021-04-16 10:50:00,22.17,22.23,22.17,22.21,34398,UAA,2021-04-16 10:50:00
16,91351,2021-04-16 10:55:00,22.21,22.23,22.18,22.18,52852,UAA,2021-04-16 10:55:00
17,91350,2021-04-16 11:00:00,22.18,22.185,22.14,22.145,35882,UAA,2021-04-16 11:00:00
18,91349,2021-04-16 11:05:00,22.145,22.155,22.125,22.13,18395,UAA,2021-04-16 11:05:00
19,91348,2021-04-16 11:10:00,22.135,22.19,22.135,22.145,23041,UAA,2021-04-16 11:10:00
20,91347,2021-04-16 11:15:00,22.14,22.14,22.065,22.07,20400,UAA,2021-04-16 11:15:00
21,91346,2021-04-16 11:20:00,22.065,22.075,22.05,22.07,24585,UAA,2021-04-16 11:20:00
22,91345,2021-04-16 11:25:00,22.07,22.11,22.065,22.09,15074,UAA,2021-04-16 11:25:00
23,91344,2021-04-16 11:30:00,22.085,22.1067,22.08,22.095,19393,UAA,2021-04-16 11:30:00
24,91343,2021-04-16 11:35:00,22.095,22.115,22.08,22.115,16618,UAA,2021-04-16 11:35:00
25,91342,2021-04-16 11:40:00,22.12,22.13,22.1,22.115,24353,UAA,2021-04-16 11:40:00
26,91341,2021-04-16 11:45:00,22.115,22.14,22.115,22.14,16601,UAA,2021-04-16 11:45:00
